task_id,variant,provider,model,sample_index,requested_temperature,effective_temperature,artifact_language,oracle_spec_label,oracle_spec,syntax_ok,loc,function_count,class_count,cc_total,cc_average,cc_max,maintainability_index,max_nesting_depth,pytest_passed,pytest_timed_out,judge_score,judge_skipped,stress_passed,maintenance_token_overhead,maintenance_failure_type,maintenance_failure_detail,context_ablation_pass_at_1,context_ablation_token_overhead,context_ablation_failure_type,context_ablation_failure_detail,stress_duration_seconds,hybrid_retries,hybrid_gate_pass,hard_cc_pass,hard_nesting_pass,hard_pytest_pass,hybrid_feedback_cc_delta,max_retries_exceeded,selected_skill_ids,tool_call_count,total_prompt_token_estimate,total_completion_token_estimate,total_generation_token_estimate,generation_turn_count,dafny_status,dafny_verified,dafny_error_count,dafny_verification_status,dafny_compilation_status,compiled_python_path,lexical_proof_complexity,requires_count,ensures_count,invariant_count,source_loc,source_token_estimate,compiled_loc,compiled_token_estimate,compiled_cc_average,compiled_bloat_token_ratio
nested_json_index,oracle_dafny_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,True,27,2,0,12,12.0,12,70.179,3,False,False,1,False,,,,,,,,,,,,,,,,,,,347,535,882,1,runtime_failed,True,0,verified,translated,runs/dafny_full_claude/nested_json_index/oracle_dafny_generation__anthropic__claude-sonnet-4-6__s00/solution.py,26,1,1,2,66,531,27,303,12.0,0.571
nested_json_index,oracle_dafny_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,True,27,2,0,12,12.0,12,70.179,3,False,False,1,False,,,,,,,,,,,,,,,,,,,347,609,956,1,runtime_failed,True,0,verified,translated,runs/dafny_full_claude/nested_json_index/oracle_dafny_generation__anthropic__claude-sonnet-4-6__s01/solution.py,31,2,3,2,72,605,27,303,12.0,0.501
nested_json_index,oracle_dafny_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,True,27,2,0,12,12.0,12,70.179,3,False,False,1,False,,,,,,,,,,,,,,,,,,,347,506,853,1,runtime_failed,True,0,verified,translated,runs/dafny_full_claude/nested_json_index/oracle_dafny_generation__anthropic__claude-sonnet-4-6__s02/solution.py,25,0,1,2,66,503,27,303,12.0,0.602
retry_state_machine,oracle_dafny_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,False,0,0,0,0,0.0,0,,0,False,False,1,False,,,,,,,,,,,,,,,,,,,368,312,680,1,verification_failed,False,4,verification_failed,,,17,7,6,0,55,308,,,,
retry_state_machine,oracle_dafny_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,False,0,0,0,0,0.0,0,,0,False,False,1,False,,,,,,,,,,,,,,,,,,,368,303,671,1,verification_failed,False,2,verification_failed,,,17,7,6,0,53,299,,,,
retry_state_machine,oracle_dafny_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,False,0,0,0,0,0.0,0,,0,False,False,1,False,,,,,,,,,,,,,,,,,,,368,313,681,1,verification_failed,False,4,verification_failed,,,17,7,6,0,55,309,,,,
event_windows,oracle_dafny_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,False,0,0,0,0,0.0,0,,0,False,False,1,False,,,,,,,,,,,,,,,,,,,338,936,1274,1,verification_failed,False,,timeout,,,42,1,1,22,109,933,,,,
event_windows,oracle_dafny_generation,anthropic,claude-sonnet-4-6,1,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,False,0,0,0,0,0.0,0,,0,False,False,1,False,,,,,,,,,,,,,,,,,,,338,569,907,1,verification_failed,False,5,verification_failed,,,18,1,1,5,83,566,,,,
event_windows,oracle_dafny_generation,anthropic,claude-sonnet-4-6,2,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,False,0,0,0,0,0.0,0,,0,False,False,1,False,,,,,,,,,,,,,,,,,,,338,903,1241,1,verification_failed,False,,verification_failed,,,52,1,6,16,120,900,,,,
dependency_order,oracle_dafny_generation,anthropic,claude-sonnet-4-6,0,0.8,0.8,dafny,dafny_formal_verification,Dafny formal verification skill loaded through modular discovery.,False,0,0,0,0,0.0,0,,0,False,False,1,False,,,,,,,,,,,,,,,,,,,327,1205,1532,1,verification_failed,False,,verification_failed,,,51,0,8,6,168,1202,,,,
