agent,artifact_bearing_summary,cached_input_tokens,completed_trials,cost_usd,created_at,errored_trials,exception_type,external_guardrail_row_id,fresh_v3_harbor_backed,harbor_job_id,input_tokens,model,non_nop_agent,output_tokens,program_version,raw_content_committed,reward,source,source_result_path,success,surface_evidence_quality,task_id,trial_log_present
nop,,,1,,2026-05-19T03:22:04Z,0,,e1f7463af85876c8d4,True,v3_fresh_local_fast,,,,,vericoding_research_v3,False,,fresh_harbor_terminalbench_v3_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_fresh_v3_nop/raw_jobs/v3_fresh_local_fast/log-summary-date-ranges__BEfbxXN/result.json,False,harbor_backend_sanitized_summary,log-summary-date-ranges,
nop,,,1,,2026-05-19T03:22:04Z,0,,5404ad0badfa984fca,True,v3_fresh_local_fast,,,,,vericoding_research_v3,False,,fresh_harbor_terminalbench_v3_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_fresh_v3_nop/raw_jobs/v3_fresh_local_fast/log-summary-date-ranges__HVLs3jA/result.json,False,harbor_backend_sanitized_summary,log-summary-date-ranges,
nop,,,1,,2026-05-19T03:22:04Z,0,,7d2f32426406249288,True,v3_fresh_local_fast,,,,,vericoding_research_v3,False,,fresh_harbor_terminalbench_v3_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_fresh_v3_nop/raw_jobs/v3_fresh_local_fast/log-summary-date-ranges__RWsFPNb/result.json,False,harbor_backend_sanitized_summary,log-summary-date-ranges,
nop,,,1,,2026-05-19T03:22:04Z,0,,313c263ecfd1ead2a5,True,v3_fresh_local_fast,,,,,vericoding_research_v3,False,,fresh_harbor_terminalbench_v3_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_fresh_v3_nop/raw_jobs/v3_fresh_local_fast/log-summary-date-ranges__gWtG3nY/result.json,False,harbor_backend_sanitized_summary,log-summary-date-ranges,
nop,,,1,,2026-05-19T03:22:04Z,0,,57aa18a99297a2f024,True,v3_fresh_local_fast,,,,,vericoding_research_v3,False,,fresh_harbor_terminalbench_v3_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_fresh_v3_nop/raw_jobs/v3_fresh_local_fast/log-summary-date-ranges__wRjXiK5/result.json,False,harbor_backend_sanitized_summary,log-summary-date-ranges,
nop,,,1,,2026-05-19T03:22:04Z,0,,32d53de49a00db0697,True,v3_fresh_local_fast,,,,,vericoding_research_v3,False,,fresh_harbor_terminalbench_v3_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_fresh_v3_nop/raw_jobs/v3_fresh_local_fast/log-summary-date-ranges__xMSzTd7/result.json,False,harbor_backend_sanitized_summary,log-summary-date-ranges,
codex,True,129408,1,0.041554350000000004,2026-05-19T12:46:27Z,0,,f1df2dfdeefcd56239,True,v3_non_nop_codex_4x3,144807,gpt-5.4-mini,True,4511,vericoding_research_v3,False,0.0,fresh_harbor_terminalbench_v3_non_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_non_nop_probe/raw_jobs/v3_non_nop_codex_4x3/cancel-async-tasks__XMN35WP/result.json,False,harbor_backend_non_nop_sanitized_summary,cancel-async-tasks,True
codex,True,75136,1,0.027349949999999998,2026-05-19T12:46:27Z,0,,97cd72bc7bd70aa8c4,True,v3_non_nop_codex_4x3,91915,gpt-5.4-mini,True,2029,vericoding_research_v3,False,1.0,fresh_harbor_terminalbench_v3_non_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_non_nop_probe/raw_jobs/v3_non_nop_codex_4x3/log-summary-date-ranges__PZakKGf/result.json,True,harbor_backend_non_nop_sanitized_summary,log-summary-date-ranges,True
codex,True,146176,0,0.04597245,2026-05-19T12:46:27Z,1,AgentTimeoutError,bc89681734df05fdb5,False,v3_non_nop_codex_4x3,169929,gpt-5.4-mini,True,3821,vericoding_research_v3,False,,fresh_harbor_terminalbench_v3_non_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_non_nop_probe/raw_jobs/v3_non_nop_codex_4x3/modernize-scientific-stack__GwHDAqS/result.json,False,harbor_backend_non_nop_sanitized_summary,modernize-scientific-stack,True
codex,True,2343424,0,0.46588379999999996,2026-05-19T12:46:27Z,1,CancelledError,b0c2e4eb2d79a08332,False,v3_non_nop_codex_4x3,2545196,gpt-5.4-mini,True,30844,vericoding_research_v3,False,,fresh_harbor_terminalbench_v3_non_nop,runs/vericoding_research_v3/raw_jobs/terminalbench_non_nop_probe/raw_jobs/v3_non_nop_codex_4x3/reshard-c4-data__DmBqj6a/result.json,False,harbor_backend_non_nop_sanitized_summary,reshard-c4-data,True
