accepted_decision,component_family,human_review_required,narrow_waist,rejected_decision,review_boundary_candidate,review_boundary_clear,secure_challenge_eligible,security_critical,spec_coherent,split,support_status,surface,task_id
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,configuration_policy,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,dev,support_absent,internal,policy_merge
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,configuration_policy,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,dev,support_absent,internal,config_precedence_merge
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,validator,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,dev,support_absent,internal,cli_argument_validation
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,validator,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,dev,support_absent,internal,retry_backoff_schedule
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,rate_limit_or_quota,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,confirmatory,support_absent,internal,sliding_window_limiter
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,configuration_policy,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,confirmatory,support_absent,internal,feature_flag_matrix
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,rate_limit_or_quota,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,confirmatory,support_present,internal,async_rate_limiter
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,narrow_waist_component,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",True,True,False,True,True,confirmatory,support_present,internal,timing_safe_compare
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,validator,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",False,True,False,True,True,confirmatory,support_absent,internal,input_sanitizer
Accept implementations that satisfy visible behavior and hidden day-2 regression checks without widening the component boundary.,rate_limit_or_quota,"Review the natural-language spec, executable oracle assumptions, wrapper/runtime boundary, dependency behavior, and whether accepted outputs are safe to ship in the intended deployment context.",True,"Reject visible-passing candidates that fail hidden edge cases, state transitions, precedence rules, or tenant/security boundaries.",True,True,False,True,True,confirmatory,support_present,internal,token_bucket_enforcer
