artifact,review_reason,surface,task_id
natural_language_spec,Human must confirm the stated boundary matches deployment intent.,internal,policy_merge
hidden_oracle_summary,Human must confirm hidden checks reject the right unsafe behavior.,internal,policy_merge
wrapper_runtime_assumptions,Human must confirm wrappers and runtime do not bypass the oracle boundary.,internal,policy_merge
natural_language_spec,Human must confirm the stated boundary matches deployment intent.,internal,config_precedence_merge
hidden_oracle_summary,Human must confirm hidden checks reject the right unsafe behavior.,internal,config_precedence_merge
wrapper_runtime_assumptions,Human must confirm wrappers and runtime do not bypass the oracle boundary.,internal,config_precedence_merge
natural_language_spec,Human must confirm the stated boundary matches deployment intent.,internal,cli_argument_validation
hidden_oracle_summary,Human must confirm hidden checks reject the right unsafe behavior.,internal,cli_argument_validation
wrapper_runtime_assumptions,Human must confirm wrappers and runtime do not bypass the oracle boundary.,internal,cli_argument_validation
natural_language_spec,Human must confirm the stated boundary matches deployment intent.,internal,retry_backoff_schedule
hidden_oracle_summary,Human must confirm hidden checks reject the right unsafe behavior.,internal,retry_backoff_schedule
wrapper_runtime_assumptions,Human must confirm wrappers and runtime do not bypass the oracle boundary.,internal,retry_backoff_schedule
natural_language_spec,Human must confirm the stated boundary matches deployment intent.,internal,sliding_window_limiter
hidden_oracle_summary,Human must confirm hidden checks reject the right unsafe behavior.,internal,sliding_window_limiter
wrapper_runtime_assumptions,Human must confirm wrappers and runtime do not bypass the oracle boundary.,internal,sliding_window_limiter
natural_language_spec,Human must confirm the stated boundary matches deployment intent.,internal,feature_flag_matrix
hidden_oracle_summary,Human must confirm hidden checks reject the right unsafe behavior.,internal,feature_flag_matrix
wrapper_runtime_assumptions,Human must confirm wrappers and runtime do not bypass the oracle boundary.,internal,feature_flag_matrix
natural_language_spec,Human must confirm the stated boundary matches deployment intent.,internal,async_rate_limiter
hidden_oracle_summary,Human must confirm hidden checks reject the right unsafe behavior.,internal,async_rate_limiter
wrapper_runtime_assumptions,Human must confirm wrappers and runtime do not bypass the oracle boundary.,internal,async_rate_limiter
natural_language_spec,Human must confirm the stated boundary matches deployment intent.,internal,timing_safe_compare
hidden_oracle_summary,Human must confirm hidden checks reject the right unsafe behavior.,internal,timing_safe_compare
wrapper_runtime_assumptions,Human must confirm wrappers and runtime do not bypass the oracle boundary.,internal,timing_safe_compare
